menu_id,restaurant_id,item_name,price,veg
1,1,Chocolate Shake,204,Yes
2,1,Butter Naan,141,No
3,1,Paneer Butter Masala,393,Yes
4,1,Manchurian,193,No
5,1,Kadhi Khichdi,288,No
6,1,Fries,180,No
7,1,Chicken Biryani,206,No
8,1,Idli Sambar,225,Yes
9,1,Pav Bhaji,131,Yes
10,1,Dal Tadka,348,No
11,1,Hakka Noodles,367,Yes
12,1,Masala Dosa,223,Yes
13,1,Gulab Jamun,219,No
14,1,Gujarati Thali,373,Yes
15,1,Jeera Rice,331,No
16,1,Paneer Tikka,177,Yes
17,1,Burger,400,No
18,1,Rasgulla,280,Yes
19,1,Vada Pav,121,No
20,1,Cold Coffee,156,No
21,2,Gulab Jamun,300,Yes
22,2,Pav Bhaji,170,Yes
23,2,Paneer Butter Masala,225,Yes
24,2,Masala Dosa,376,No
25,2,Paneer Tikka,392,Yes
26,2,Kadhi Khichdi,146,Yes
27,2,Chocolate Shake,100,No
28,2,Chicken Biryani,298,No
29,2,Manchurian,398,Yes
30,2,Gujarati Thali,136,No
31,2,Vada Pav,81,No
32,2,Rasgulla,283,No
33,2,Cold Coffee,200,Yes
34,2,Idli Sambar,290,Yes
35,2,Dal Tadka,273,Yes
36,2,Veg Biryani,144,No
37,2,Fries,252,No
38,2,Burger,372,No
39,2,Hakka Noodles,265,No
40,2,Veg Pizza,108,No
41,3,Rasgulla,94,No
42,3,Gujarati Thali,280,Yes
43,3,Masala Dosa,86,Yes
44,3,Butter Naan,302,Yes
45,3,Burger,288,No
46,3,Kadhi Khichdi,375,Yes
47,3,Chocolate Shake,236,Yes
48,3,Veg Biryani,313,No
49,3,Paneer Butter Masala,228,Yes
50,3,Paneer Tikka,397,Yes
51,3,Dal Tadka,344,Yes
52,3,Manchurian,355,Yes
53,3,Pav Bhaji,369,Yes
54,3,Chicken Biryani,103,No
55,3,Hakka Noodles,392,No
56,3,Jeera Rice,244,Yes
57,3,Idli Sambar,119,Yes
58,3,Gulab Jamun,111,Yes
59,3,Vada Pav,233,No
60,3,Veg Pizza,237,No
61,4,Idli Sambar,144,Yes
62,4,Dal Tadka,137,Yes
63,4,Manchurian,266,No
64,4,Paneer Butter Masala,358,No
65,4,Hakka Noodles,257,Yes
66,4,Butter Naan,351,No
67,4,Paneer Tikka,374,No
68,4,Cold Coffee,375,No
69,4,Jeera Rice,125,Yes
70,4,Kadhi Khichdi,115,Yes
71,4,Burger,120,No
72,4,Gulab Jamun,234,Yes
73,4,Rasgulla,93,Yes
74,4,Veg Biryani,222,Yes
75,4,Chicken Biryani,173,No
76,4,Veg Pizza,118,No
77,4,Vada Pav,203,No
78,4,Pav Bhaji,168,No
79,4,Masala Dosa,93,No
80,4,Chocolate Shake,97,No
81,5,Kadhi Khichdi,303,No
82,5,Hakka Noodles,342,No
83,5,Jeera Rice,171,No
84,5,Idli Sambar,312,Yes
85,5,Cold Coffee,292,No
86,5,Burger,216,Yes
87,5,Veg Pizza,160,No
88,5,Rasgulla,294,No
89,5,Gujarati Thali,272,Yes
90,5,Gulab Jamun,146,Yes
91,5,Paneer Butter Masala,371,Yes
92,5,Dal Tadka,355,No
93,5,Veg Biryani,233,Yes
94,5,Chicken Biryani,248,Yes
95,5,Manchurian,290,No
96,5,Masala Dosa,356,Yes
97,5,Chocolate Shake,241,No
98,5,Paneer Tikka,168,Yes
99,5,Pav Bhaji,168,Yes
100,5,Vada Pav,388,No
101,6,Vada Pav,83,No
102,6,Fries,268,No
103,6,Paneer Butter Masala,179,Yes
104,6,Paneer Tikka,178,Yes
105,6,Dal Tadka,247,Yes
106,6,Cold Coffee,236,No
107,6,Kadhi Khichdi,96,No
108,6,Idli Sambar,242,No
109,6,Veg Biryani,140,Yes
110,6,Burger,387,No
111,6,Jeera Rice,315,No
112,6,Pav Bhaji,391,No
113,6,Chicken Biryani,350,Yes
114,6,Manchurian,262,Yes
115,6,Gulab Jamun,353,Yes
116,6,Gujarati Thali,360,Yes
117,6,Masala Dosa,310,No
118,6,Veg Pizza,376,Yes
119,6,Chocolate Shake,385,Yes
120,6,Butter Naan,200,Yes
