restaurant_id,restaurant_name,city,cuisine,rating,delivery_time
1,Food Point,Ahmedabad,Desserts,3.9,20
2,Tasty Hub,Ahmedabad,Burger,3.9,20
3,Taste Kitchen,Ahmedabad,Chinese,3.8,23
4,Tasty Cafe,Ahmedabad,South Indian,4.6,39
5,Hungry Dhaba,Ahmedabad,Burger,4.5,39
6,Food Point,Ahmedabad,Gujarati,4.0,22
7,Hungry Bites,Ahmedabad,North Indian,4.1,31
8,Royal Restaurant,Ahmedabad,Desserts,4.6,28
9,Magic Hub,Ahmedabad,Chinese,3.9,43
10,Golden Point,Ahmedabad,Pizza,3.7,35
11,Street Hub,Ahmedabad,Desserts,4.3,42
12,Golden Point,Ahmedabad,North Indian,4.3,26
13,Spicy House,Ahmedabad,Burger,4.3,48
14,Royal Hub,Ahmedabad,Biryani,4.1,34
15,Taste Dhaba,Ahmedabad,South Indian,4.4,21
16,Flavors Kitchen,Ahmedabad,Biryani,4.6,40
17,Spicy Kitchen,Ahmedabad,Pizza,3.9,32
18,Delight Restaurant,Ahmedabad,North Indian,4.3,27
19,Royal House,Ahmedabad,Gujarati,4.0,47
20,Street Point,Ahmedabad,Street Food,3.9,47
21,Flavors Dhaba,Ahmedabad,Fast Food,4.4,30
22,Tasty Dhaba,Ahmedabad,South Indian,4.5,27
23,Royal Corner,Ahmedabad,South Indian,4.9,39
24,Delight Point,Ahmedabad,Gujarati,3.9,20
25,Magic Bites,Ahmedabad,Desserts,3.6,28
26,Urban Dhaba,Ahmedabad,South Indian,4.1,33
27,Royal House,Ahmedabad,Gujarati,4.8,45
28,Urban House,Ahmedabad,Chinese,3.7,31
29,Tasty Dhaba,Ahmedabad,Chinese,3.9,44
30,Street Kitchen,Ahmedabad,Burger,3.5,24
31,Tasty Kitchen,Ahmedabad,Gujarati,3.8,23
32,Tasty House,Ahmedabad,Burger,4.5,45
33,Taste Kitchen,Ahmedabad,Desserts,4.4,49
34,Flavors Kitchen,Ahmedabad,Street Food,4.0,28
35,Spicy House,Ahmedabad,Biryani,3.5,43
36,Delight Kitchen,Ahmedabad,North Indian,3.9,46
37,Royal Restaurant,Ahmedabad,Chinese,4.4,48
38,Food Bites,Ahmedabad,Fast Food,3.8,34
39,Urban Kitchen,Ahmedabad,North Indian,4.1,39
40,Flavors Dhaba,Ahmedabad,Street Food,3.6,42
41,Flavors Hub,Ahmedabad,Pizza,4.8,47
42,Golden Dhaba,Ahmedabad,Fast Food,4.2,32
43,Taste Point,Ahmedabad,Desserts,3.8,24
44,Street Bites,Ahmedabad,Fast Food,4.5,35
45,Delight Point,Ahmedabad,Biryani,3.5,47
46,Spicy Cafe,Ahmedabad,South Indian,3.6,50
47,Food Bites,Ahmedabad,Desserts,4.4,45
48,Taste House,Ahmedabad,Burger,4.8,21
49,Food Point,Ahmedabad,Desserts,3.9,32
50,Hungry Corner,Ahmedabad,Desserts,4.8,44
51,Delight Hub,Ahmedabad,North Indian,4.9,50
52,Street Restaurant,Ahmedabad,Gujarati,4.2,26
53,Golden Bites,Ahmedabad,Pizza,3.8,29
54,Street Restaurant,Ahmedabad,Burger,4.5,30
55,Taste Dhaba,Ahmedabad,Chinese,4.3,45
56,Magic Kitchen,Ahmedabad,Burger,4.7,29
57,Food Bites,Ahmedabad,South Indian,3.8,48
58,Hungry House,Ahmedabad,Fast Food,4.6,22
59,Spicy Bites,Ahmedabad,Fast Food,3.9,23
60,Royal Hub,Ahmedabad,Fast Food,3.8,40
61,Urban Cafe,Ahmedabad,Fast Food,4.6,35
62,Food Point,Ahmedabad,Pizza,3.8,46
